doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1007/JHEP12(2024)035,2806818,Measurement of boosted Higgs bosons produced via vector boson fusion or gluon fusion in the H →$ \textrm{b}\overline{\textrm{b}} $ decay mode using LHC proton-proton collision data at $ \sqrt{s} $ = 13 TeV,2339,JHEP,12,2024,,,2407.08012,https://inspirehep.net/record/2806818
10.1103/PhysRevLett.132.261902,2789110,"Combination of Measurements of the Top Quark Mass from Data Collected by the ATLAS and CMS Experiments at <math display=""inline""><msqrt><mi>s</mi></msqrt><mo>=</mo><mn>7</mn></math> and 8 TeV",5239,Phys.Rev.Lett.,132,2024,,,2402.08713,https://inspirehep.net/record/2789110
10.1103/PhysRevLett.133.071903,2760466,"Measurement of Energy Correlators inside Jets and Determination of the Strong Coupling <math display=""inline""><mrow><msub><mrow><mi>α</mi></mrow><mrow><mi>S</mi></mrow></msub><mo stretchy=""false"">(</mo><msub><mrow><mi>m</mi></mrow><mrow><mi>Z</mi></mrow></msub><mo stretchy=""false"">)</mo></mrow></math>",2329,Phys.Rev.Lett.,133,2024,,,2402.13864,https://inspirehep.net/record/2760466
10.1103/PhysRevLett.133.191902,2766846,Search for Soft Unclustered Energy Patterns in Proton-Proton Collisions at 13 TeV,2400,Phys.Rev.Lett.,133,2024,,,2403.05311,https://inspirehep.net/record/2766846
10.1007/s41781-024-00124-1,2761406,Portable Acceleration of CMS Computing Workflows with Coprocessors as a Service,2329,Comput.Softw.Big Sci.,8,2024,,,2402.15366,https://inspirehep.net/record/2761406
10.1103/PhysRevD.110.012002,2762139,"Observation of the <math display=""inline""><msubsup><mi mathvariant=""normal"">Ξ</mi><mi>b</mi><mo>-</mo></msubsup><mo stretchy=""false"">→</mo><mrow><mi>ψ</mi><mrow><mo stretchy=""false"">(</mo><mn>2</mn><mi>S</mi><mo stretchy=""false"">)</mo></mrow></mrow><msup><mi mathvariant=""normal"">Ξ</mi><mo>-</mo></msup></math> decay and studies of the <math display=""inline""><msub><mi mathvariant=""normal"">Ξ</mi><mi>b</mi></msub><mo stretchy=""false"">(</mo><mn>5945</mn><msup><mo stretchy=""false"">)</mo><mn>0</mn></msup></math> baryon in proton-proton collisions at <math display=""inline""><msqrt><mi>s</mi></msqrt><mo>=</mo><mn>13</mn><mtext> </mtext><mtext> </mtext><mi>TeV</mi></math>",2353,Phys.Rev.D,110,2024,,,2402.17738,https://inspirehep.net/record/2762139
10.1140/epjc/s10052-024-13583-y,2771361,Probing sterile neutrino freeze-in at stronger coupling,3,Eur.Phys.J.C,84,2024,1234,,2403.15533,https://inspirehep.net/record/2771361
10.1051/0004-6361/202450564,2781773,"Superbubbles as the source of dynamical friction: Gas migration, and stellar and dark matter contributions",5,Astron.Astrophys.,693,2025,A206,,2404.18086,https://inspirehep.net/record/2781773
10.1103/PhysRevD.109.L061503,2721983,Consistent first-order action functional for gauge theories,5,Phys.Rev.D,109,2024,,,2311.07464,https://inspirehep.net/record/2721983
10.1088/1475-7516/2025/05/072,2862643,Symmetry-breaking inflation in non-minimal metric-affine gravity,2,JCAP,05,2025,072,,2412.17738,https://inspirehep.net/record/2862643
